PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13
-0.28264420285983305,1.7265407241903468,-1.1086750759658535,-1.6547674561040617,-1.3360737146149262,0.4188715993570664,0.03758200674297455,-0.1558709467223182,-1.333174305456881,-1.238566569171687,-0.44203145885551354,-1.0432020194667542,1.081478536867495
0.020313624783933823,3.7920174101132136,1.225157828199803,0.9907114798934341,0.17260252096555093,2.658216445472801,-0.2193924156007741,1.5054777009655167,-5.543980127025648,-0.8976729833315003,1.2478567918449015,-4.607428146051298,-0.3383561806335527
7.784162253250488,-0.3420732801999114,3.1046132811298786,1.6766077771286712,4.359115583051306,1.3262986263918801,-2.533528426788041,1.5067797910480287,3.615226372616952,-1.6640167816408151,-1.6730776966180174,0.8144793385941405,-0.23297034052618085
-1.6202333256640578,-3.671307194375721,2.7521196712602842,1.3456277526880789,-0.42523774522333496,-0.27836706436400305,1.5847655959027775,-1.23009234439634,-4.289577023324657,-0.2421153871499247,-2.4467673137537225,1.5509458809001102,-2.8271845455591684
1.0223952049242606,-2.1152409920714326,-0.9900470985430309,1.1854000142468146,-1.6023725139837741,2.2599058026596657,-0.21576330195408638,1.1365504969005324,0.7014382301241653,0.4674000684152133,0.6067589531429876,1.3249461387242079,0.9820487191186871
-0.6341056439382358,-2.216417725328861,0.5976975469913298,1.5250583001641749,3.3274296935369914,-1.678307242445929,1.0145070497812758,-1.0060637607191782,2.030928503373052,1.7638468810124162,0.31306446991468423,-0.4704859287371673,-0.9002731001786034
2.9578138134698606,-0.08094395277021235,0.4925016606940537,1.2037991409773159,1.1147550251908815,-2.6329155148397696,3.6627506921793476,-1.033982180863653,4.978036164484843,0.19388031057597116,-2.0008113015840143,2.0673121447567735,-0.363872170773412
-2.00992152086308,0.4089222671565587,-0.6029372961144059,-0.5714321363154737,0.36033946574068876,-0.07219111801674978,-0.18589913254865822,-0.07931612800093193,-0.01386139554772309,0.03455341456462845,0.405809910889959,0.5451316452968717,-0.12668487483719265
-1.8169423906336537,-0.25051275721132854,-0.1660485945917824,0.07796111064959364,-0.6010102533942495,-0.1282147042256573,0.0844600839446935,0.46092916166581416,-0.010898703369720384,0.29847309940664596,-0.27249782983559995,-0.8453583778747576,-1.3628954060657306
-3.2580534199256617,-0.04362033541508904,-1.0756835577064343,-0.36198742597068,0.5982400037826882,0.16718655508623467,-0.7089601192498876,-0.49095700806473197,0.16032702611824431,0.7152258786015764,-0.2619130408873624,0.552465042264528,0.2696533788799391
